state,county,cluster,(pop.15_19+pop.20_24+pop.25_29),emp.no/pop.base_count,hh.median_income,pov.below/pop.base_count,hh.male_only,eth.white,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
SC,marion,21,0.185644371533018,0.0720065252854812,29741.0964861513,0.291615008156607,426,12145,1.5,1,30650,2.5,8.15660685154976e-05,3.2626427406199e-05,0.000216896215161045,0,6.64786899468604,1,0,0,0,0,0,0,DUI & DWI
SC,marlboro,16,0.195213319495179,0.0567117585848075,28778.47509912,0.279500520291363,797,11656,5.5,1,28830,6.5,0.000225459590704128,3.46860908775581e-05,0.00027531307029136,3.16355583676052e-05,7.93727581649991,1,0,0,0,0,0,0,DUI & DWI
SC,mccormick,19,0.145007067217594,0.0542113577783321,41534.6049461002,0.180510518001164,155,6277,3.66666666666667,1.5,12027,5.16666666666667,0.000429588980349769,0.000124719381391868,0.000430047092285551,5.09514330939748e-05,5.17217637891833,1.5,0,0,0,0,0,0,DUI & DWI
SC,newberry,1,0.192667901672159,0.0482546201232033,43881.88523126,0.170982120498823,841,24772,2.66666666666667,0,39934,2.66666666666667,6.67768484666366e-05,0,0.000615160045876342,8.67613087943432e-05,24.5658012720259,3.4647261053933,0,0,0,0,0,0,DUI & DWI
SC,oconee,19,0.172447595788529,0.0529079214169655,42823.7216919881,0.187138272301226,1444,66295,17.6666666666667,5.5,74469,23.1666666666667,0.000311091416114983,7.38562354805355e-05,0.000430047092285551,5.09514330939748e-05,32.0251769154127,5.5,6.96613651422346,6.96613651422346,0,0,6.96613651422346,6.96613651422346,DUI & DWI
SC,orangeburg,16,0.223786214029087,0.0566083321078174,33448.5477622453,0.236853715414189,1949,32390,15.3333333333333,1.5,95198,16.8333333333333,0.000176824443090541,1.57566335427215e-05,0.00027531307029136,3.16355583676052e-05,26.2092536655969,3.01164188547928,0,0,0,0,0,0,DUI & DWI
SC,pickens,5,0.268135255879088,0.0496920822227791,43783.855698955,0.1743703062472,2360,116955,74,6.66666666666667,131691,80.6666666666667,0.000612545023324803,5.0623555646678e-05,0.000785971759221617,0.000101992136735265,103.505406943654,13.4314464788037,63.2638391460837,76.781018970767,32.0764951100486,38.9300746335249,95.3403342561323,115.711093604292,DUI & DWI
SC,richland,5,0.276594553869013,0.054882875487408,48715.7773192101,0.167020701014662,5897,178719,217,135.333333333333,375199,352.333333333333,0.000939057229185934,0.00036069747876016,0.000785971759221617,0.000101992136735265,352.333333333333,135.333333333333,2840.58137596789,2840.58137596789,709.514371395523,709.514371395523,3550.09574736341,3550.09574736341,DUI & DWI
SC,saluda,16,0.219648765996861,0.0521761262407737,37223.8913297499,0.277254602528209,244,6886,1,0,11787,1,8.48392296597947e-05,0,0.00027531307029136,3.16355583676052e-05,3.24511515952426,0.372888326478962,0,0,0,0,0,0,DUI & DWI
SC,spartanburg,1,0.199358925976443,0.0493934483116363,43844.9047839792,0.181403851451181,4932,209543,88,29,279531,117,0.000418558227888857,0.000103745201784417,0.000615160045876342,8.67613087943432e-05,171.95630278386,29,549.464773916362,740.030354320725,0,0,549.464773916362,740.030354320725,DUI & DWI
